en-CA,fr-CA
Croissant,Double Hamburger avec fromage
Croissants Sandwiches,Double Hamburger avec fromage et bacon
Crumble,double hamburger fromage
Cucumber,Double hamburger fromage
Cut in half,Double quart BLT
Dasani Water,Double quart de livre avec fromage
Dbl Chsb LT,Double quart de livre BLT
Dbl Dbl,Double quart de livre fromage
Dbl Quarter Pounder,Double quart de livre sans fro
Dbl Quarter Pounder withCheese,Double quart de livre sans fromage
Decaf Coffee,Double Quart Fromage
Delivery,Double Quart Hamburger (sans fromage)
Delivery Fee,Double Quart livre (sans fromage)
Description,Duo
Dessert,Duo 2 biscuits
Diced Apples,duo avec Café
Diet Coke,Duo Bagel Crm Chs avec Café
Diet Coke Syrup,Duo café et pâtisserie
Distance Fee,Duo chausson aux pommes
Double Bacon 'N Crispy Onion,Duo chausson aux pommes et McCafé
Double Bacon 'N Crispy Onion Quarter Pounder,Duo chausson aux pommes McCafé
Double Big Mac,Duo muffin anglais
Double Big Mac Extra Value Meal,Duo muffin anglais et boisson chaude
Double Cheeseburger,Duo muffin et café
Double Cheeseburger Extra Value Meal,"Duo patates hachées brunes et café, format moyen"
Double Cheesy Melt,Duo rôties blanc
Double Cheesy Melt Extra Value Meal,Duo rôties blanc et boisson chaude
Double Chsb LT,Duo rôties blé entier
Double Double,Duo rôties blé entier et 2 œufs frits
Double Espresso,Duo rôties blé entier et boisson chaude
Double Filet-O-Fish,E Coke
Double Filet-O-Fish Extra Value Meal,E Eau froide
Double Hamburger,E LF à la fraise ML
Double Hamburger Extra Value Meal,E LF au chocolat ML
Double Quarter Pounder,E LF au vanille ML
Double Quarter Pounder BLT,E LF chocolat
Double Quarter Pounder BLT Extra Value Meal,E LF fraise
Double Quarter Pounder Cheese,E LF vanille
Double Quarter Pounder Extra Value Meal,Eau DASANI
Double Quarter Pounder with Cheese,EC Capp sirop ***
Double Quarter Pounder With Cheese,ÉC Cappuccino ***
Double Quarter Pounder with Cheese Extra Value Meal,EC Choc ch ment ***
Double Quarter Pounder without Cheese,ÉC Lat M. Car
Double Quarter Pounder without Cheese Extra Value Meal,EC Latte
Double Toasted,ÉC Latte ***
Drink,ÉC Latte M. Caramel
Drink tray,EC Latte sirop ***
Driver Regulatory Fee,ÉC Latte ss ***
Earl Grey Tea,ÉC Moka ***
Earlybird Mug,EC Moka menthe ***
Edamame,Échantillon
Egg ‘N Cheese McGriddles,Échantillon latte caramel (lait 2%)
Egg ‘N Cheese McGriddles Extra Value Meal,Edamame
Egg ‘N Cheese McMuffin,Enfant
Egg ‘N Cheese McMuffin Extra Value Meal,Enfant Coca-Cola
Egg BLT Bagel ***,Enfant Coca-Cola Zero
Egg BLT Bagl VM,Enfant Coke
Egg BLT McMuffin,Enfant Coke Diète
Egg BLT McMuffin Extra Value Meal,Enfant Fruitopia fraises
Egg LT Bagl VM,Enfant Fruitopia orange
Egg LT Croissant Sandwich,Enfant Racinette Barq's
Egg McMuffin,Enfant Sprite
Egg McMuffin & Hash Brown Deal,Enfant Thé glacé Fuze
Egg McMuffin Extra Value Meal,Enfant Thé glacé FUZE
Egg White Only,Enfant Thé glacé NESTEA
English Muffin,Ens mél salades
English Muffin Special,Érable et cheddar ***
Entrée Salad,Espresso
Espresso,Espresso allongé
Everything Bacon 'N Egg Bagel,Extra from ched jack
Everything Bacon 'N Egg Bagel Extra Value Meal,Extra garniture coupe glacée
Everything Bacon & Guacamole Bagel,Extra garniture pour coupe glacée
Everything Bacon & Guacamole Bagel Meal,Extra sauce à McCroquettes
Everything Bagel,Extra sauce poutine
Everything Bagel Happy Meal,Extra sirop
Everything Bagel Reg CC Prod,Facturation pour livraison
Everything Bagel w/ Reg Cream Cheese McValue Meal,Festin 20 McCroquettes
Everything Bagel w/ Regular Cream Cheese Product,Festin 20 McCroquettes (portion pour 2)
Everything Bagel with Regular Cream Cheese Product,Festin déjeuner pour 4
Everything BLT Bagel,Festin déjeuner pour 4 (portion pour 4)
Everything BLT Bagel Extra Value Meal,Festin écono
Everything Egg BLT Bagel,Festin écono (portion pour 4)
Everything Egg BLT Bagel Extra Value Meal,Festin familial
Everything Sausag 'N Egg Bagel,Festin familial (portion pour 3)
Everything Sausage 'N Egg Bagel,Festin fin de soirée
Everything Sausage 'N Egg Bagel Extra Value Meal,Festin fin de soirée (portion pour 4)
Everything Sausage Egg Bagel,Festins à partager
Evr Bgl w/Sprd VM ***,Filet de poisson
Evry Bagl w/ Spreads,Filet de poisson et Côte
Evry Bagl w/ Spreads ***,Fourchettes
Evry Bgl w/ Sprd VM ***,Frais (2 sacs)
Exclusive McValue Add-on,Frais de distance
Extra Chai Glow Tea Bag,Frais de fête
Extra Earl Grey Tea Bag,Frais de livraison
Extra Gravy,Frais de réponse réglementaire
Extra Green Tea Bag,Frais de réponse réglementaire du livreur
Extra Ice,Frais de service
Extra Large,Frais de temps d'attente évita
Extra Large Earl Grey Tea,Frais de temps d'attente évitable des livreurs DD
Extra Large Green Tea,Frais pour petite commande
Extra Large Peppermint Tea,Frites
Extra Large Senior's Coffee,Frites assaisonnées aux fines herbes et à l'ail
Extra Large Senior's Decaf Coffee,Frites de renommée mondiale
Extra Large Senior's Earl Grey Tea,Frites fines herbes et à l'ail
Extra Large Senior's Green Tea,"Frites, format petit"
Extra Large Senior's Orange Pekoe Tea,"Frites, grand format"
Extra Large Senior's Peppermint Tea,"Frites, mini-format"
Extra Orange Pekoe Tea,"Frites, moyen format"
Extra Peppermint tea bag,"Frites, petit format"
Extra Peppermint Tea Bag,From chedar jack
Extra Sundae Topping,From cr orig
Extra Syrup,From. la crème à côté
Extra Value Meal,Fromage
Family Bundle,Fromage à la crème
Family Bundle (Serves 3),Fromage à la crème original
Feta & Olive Sauce,Fromage Brie
Filet-O-Fish,Fromage cheddar blanc
Filet-O-Fish & Side Deal,Fromage crème
Filet-O-Fish Extra Value Meal,Fromage en grains
Filet-O-Fish Patty,Fromage grillé sandwichs
Fireworks Mug,Fromage grillé sandwichs
Fish,Fromage mozzarella
Flexible Straw,Fromage parmesan râpé
Foam,Fromage râpé
Forks,Fromage Suisse
Fountain Drinks,Fruitopia fraises
Frank's Creamy Garlic Sauce,Fruitopia orange
Frank's RedHot Menu,Fruitopia Org Syrup
Frank's RedHot Original McCrispy,Fruitopia Strw Syrup
Frank's RedHot Original McCrispy Extra Value Meal,Fuze Iced Tea Syrup
Frank’s RedHot Creamy Garlic B,G Café
Frank’s RedHot Creamy Garlic Bacon ‘N Egg McMfn VM,G Café décaf infusé
Frank’s RedHot Creamy Garlic Bacon ‘N Egg McMuffin,G Café frappé + crème fouettée + coulis au choc.
Frank’s RedHot Creamy Garlic C,G Capp sirop ***
Frank’s RedHot Creamy Garlic Chicken McMuffin,G Cappuccino ***
Frank’s RedHot Creamy Garlic Chicken McMuffin EVM,G Cappuccino R ***
Frank’s RedHot Creamy Garlic E,G Cappuccino Sirop ***
Frank’s RedHot Creamy Garlic Egg McMuffin,G Cappuccino Sirop R***
Frank’s RedHot Creamy Garlic Egg McMuffin EVM,G Chai frappé van. + cr. fouettée + coulis au choc.
Frank’s RedHot Creamy Garlic S,G Choc ch ment ***
Frank’s RedHot Creamy Garlic Saus ‘N Egg McMfn VM,G Coke
Frank’s RedHot Creamy Garlic Sausage ‘N Egg McMfn,G Déca infusé
Frank’s RedHot Hot Honey Dippi,G Eau chaude
Frank’s RedHot Hot Honey Dipping Sauce,G Eau froide
Frank’s RedHot McVeggie,G Lat caramel ***
Frank’s RedHot Original McCris,G Lat M. Car ***
Frank’s RedHot Original McCrispy,G Lat pép choc ***
Frank’s RedHot Original McCrispy Bacon Deluxe,G Latte ***
Frank’s RedHot Original McCrispy Bacon Deluxe Meal,G Latte au caramel ***
Frank’s RedHot Original McVeggie,G Latte au chocolat et à la noisette (lait 2 %)
Frank’s RedHot Original McVeggie Meal,G Latte glacé ***
Frank’s RedHot® Original Thick,G Latte glacé au chocolat et à la noisette (lait 2 %)
Frank’s RedHot® Original Thick Sauce,G Latte glacé L ***
Free Medium Soft Drink,G Latte M. Caramel ***
Free Sandwich,G Latte menthe ***
French Book,G Latte pép choc ***
French Croissant,G Latte sirop ***
French Croissant,G Latte Sirop ***
French Fries,G Latte Sirop R ***
French Vanilla Cream Cold Brew,G Latte vanille fr
French Vanilla Latte (2% milk),G LF à la fraise ML
French Vanilla Latte (2% Milk),G LF à la vanille ML
French Vanilla Latte (Almond Milk,G LF au chocolat ML
French Vanilla Latte (Almond milk),G LF chocolat
French Vanilla Latte (Almond Milk),G LF fraise
French Vanilla Syrup,G LF vanille
Fried Egg,G Moka ***
Fries,G Moka menthe ***
Fruit & Fibre Muffin,G Smo bleuet
Fruit Medley,G Smo mangue
Fruit Splash Beverage,G Smooth bleuet ML
Fruit Splash Beverages,G Smooth mangue ML
Fruitopia Orange,G Thé Earl Grey
Fruitopia Org Syrup,G Thé pekoe
Fruitopia Strawberry,G Thé vert
Fruitopia Strawberry Passion Awareness,Galette de poulet
Fruitopia Strw Syrup,Garni comme Big Mac
Fry Display,Garni comme Mac
Fry Monitor Display,Garniture croustillante au car
Fudge,Garniture croustillante au caramel salé
Fudge Sundae,Garniture Mcflurry
Fuze Iced Tea,Glaçage au fromage à la crème
FUZE Iced Tea,Glace
Fuze Iced Tea Syrup,Glace chili limettes
Garden Salad(apples & walnuts),Glacéau smartwater
Garlic Seasoning,"Glacéau vitaminwater baie d'acai, bleuet et grenade"
Gingham Holiday Mug,Glacéau vitaminwater bleuets
Gold Peak Slightly Sweet Lemon Iced Tea,Glacéau vitaminwater orange
Gold Peak Sweet Lemon Iced Tea,glacée moka
Granola,Glacée moka  (lait d'amande)
Grape Tomatoes,Godet crème
Gravy,Godet de lait
Greek Entrée Salad,Gonflez V Tr
Greek Pasta Feta Salad,Graines tournesol
Green Dipped Mug,Grand
Green Onions,Grand
Green Tea,Grand
Grilled Cheese,Grand americano
Grilled Cheese Sandwich,Grand Café frappé
Grilled Cheese Sandwiches,Grand café glacé
Grilled Chicken,Grand café glacé à la vanille
Grilled Chicken Patty,Grand café glacé au caramel
Grilled Chicken Sandwich,Grand café glacé avec boisson à l'avoine
Grilled Chicken Sandwich,Grand café glacé avec sirop sans sucre
Grilled Chicken Sandwich,Grand Café glacé avec sirop sans sucre
Grilled Chicken Sandwich Extra Value Meal,Grand café infusé
Grilled Frank's RedHot Origina,Grand café infusé à froid
Grilled Frank's RedHot Original,Grand café infusé à froid avec sirop sans sucre et crème
Grilled Frank's RedHot Original Extra Value Meal,Grand café infusé à froid caramel et crème
Grilled Frank’s RedHot Origina,Grand café infusé à froid sucré avec crème
Grilled Frank’s RedHot Original Bacon Deluxe,Grand café infusé à froid sucré/avoine
Grilled Frank’s RedHot Original Bacon Deluxe Meal,Grand café infusé à froid vanille française et crème
Grilled Onions,Grand Café infusé aînés
Grilled Ranch Snack Wrap,Grand café infusé décaféiné
Grilled Snack Wrap,Grand café infusé décaféiné aînés
Ground Coffee & Mug Giftset,Grand café infusé décaféiné Remplir nouveau
Guacamole,Grand café infusé Remplir nouveau
Half Cream,Grand cappuccino (lait 2%)
Half Crispy Chicken Patty,Grand Cappuccino (lait d'amande)
Half Decaf,Grand Chai frappé à la vanille
Half Filet-O-Fish Patty,Grand Chai frappé à la vanille
Half Grilled Chicken,Grand Chocolat chaud (lait 2%)
Half Ice,Grand Coca-Cola
Half Milk,Grand Coca-Cola Zero
Half Oat Beverage,Grand Coke
Half Splenda,Grand Coke Diète
Half Sugar,Grand Frites
Half Syrup,Grand Fruitopia fraises
HALLOWEEN GC,Grand Fruitopia orange
Halloween Gift Certs,Grand glacée moka
Hamburger,Grand jus d'orange
Hamburger Deluxe,Grand jus de pomme
Hamburger Deluxe McValue Meal,Grand lait ultra-frappé à la fraise
Hamburger Happy Meal,Grand lait ultra-frappé à la vanille
Hamburger with Apple slices,Grand lait ultra-frappé au chocolat
"Hamburger, No Meat",Grand latte (lait 2%)
Happy Meal,Grand latte (lait d'amande)
Happy Meal 4 McNuggets with Apple slices,Grand latte à la caramel (lait 2%)
Happy Meal 4 McNuggets with Apple Slices,Grand latte à la vanille française (lait 2%)
Happy Meal 4 McNuggets with Mini Fries,Grand Latte à la vanille française (lait d'amande)
Happy Meal 4 McNuggets with Mini-fries,Grand latte à thé London fog (lait 2%)
Happy Meal 4 McNuggets with Small Fries,Grand latte au thé matcha (lait 2%)
Happy Meal 4 McNuggets with Small fries for $2.99,Grand latte avec sirop sans sucre (lait 2%)
Happy Meal Book only,Grand latte avec sirop sans sucre (lait d'amande)
Happy Meal Cheeseburger,Grand latte caramel (lait 2%)
Happy Meal Cheeseburger Mini Fry for $2.99,Grand latte caramel (lait d'amande)
Happy Meal Cheeseburger with Apple slices,Grand latte glacé (lait 2%)
Happy Meal Cheeseburger with Apple Slices,Grand Latte glacé (lait amande)
Happy Meal Cheeseburger with Mini Fries,Grand latte glacé au matcha (lait 2%)
Happy Meal Cheeseburger with mini-fries,Grand latte glacé matcha (lait amande)
Happy Meal Cheeseburger with Small Fries,Grand menthe poivrée
Happy Meal Cheeseburger with Small fries for $2.99,Grand Moka (lait 2%)
Happy Meal Crispy Chicken Snack Wrap with Apple Slices,Grand moka glacé
Happy Meal Crispy Chicken Snack Wrap with Mini Fries,Grand Racinette Barq's
Happy Meal Crispy Chicken Snack Wrap with Small Fries,Grand smoothie fraises-banane
Happy Meal Crispy Mayo with Mini Fries,Grand smoothie grenade-bleuets
Happy Meal Fish Stick,Grand smoothie mangue-ananas
Happy Meal French Book only,Grand Splash fraîcheur au citron
Happy Meal Grilled Cheese with Apple Slices,Grand Splash fraîcheur au melon d’eau et à la lime
Happy Meal Grilled Cheese with Mini Fries,Grand Sprite
Happy Meal Grilled Cheese with Small Fries,Grand Sprite nocturne
Happy Meal Grilled Chicken Snack Wrap with Apple Slices,Grand thé à la menthe poivrée
Happy Meal Grilled Chicken Snack Wrap with Mini Fries,Grand thé à la menthe poivrée aînés
Happy Meal Grilled Chicken Snack Wrap with Small Fries,Grand thé bergamia gris
Happy Meal Hamburger with Apple slices,Grand thé chai éclat
Happy Meal Hamburger with Apple Slices,Grand thé Earl Grey
Happy Meal Hamburger with Mini Fry,Grand thé earl grey aînés
Happy Meal Hamburger with mini-fries,Grand Thé glacé Fuze
Happy Meal Hamburger with Small Fries,Grand thé menthe poivrée aînés
Happy Meal Hamburger with Small fries for $2.99,Grand thé orange pekoe
Happy Meal Hotcakes with Apple Slices,Grand thé Orange Pekoe
Happy Meal Hotcakes with Hash Browns,Grand thé orange pekoe aînés
Happy Meal Hotcakes with Hashbrowns for $2.99,Grand thé rugissement noir
Happy Meal Hotcakes with Mini Fry,Grand thé vert
Happy Meal Hotcakes with Small Fries,Grand thé vert à la citronnelle
Happy Meal Juice/Milk/Water,Grand thé vert aînés
Happy Meal Lettuce & Tomato Snack Wrap w/ Apple Slices,Gratuit moyen boisson
Happy Meal Lettuce & Tomato Snack Wrap with Mini Fries,Guacamole
Happy Meal Lettuce & Tomato Snack Wrap with Small Fries,H-fromage
Happy Meal Lettuce & Tomato SnackWrap w/ Sml Fries,Hamburger
Happy Meal Mayo Crispy Chicken Snack Wrap with Mini Fries,Hamburger avec fromage
Happy Meal Nugget,Hamburger avec fromage de luxe
Happy Meal snack Wrap,"Hamburger avec fromage, sans viande"
Happy Meal Snack Wrap,Hamburger De Luxe
Happy Meal Toy,Hamburger fromage
Happy Meal Toy - Under 3,"Hamburger fromage, sans viande"
Happy Meal with Apple slices,"Hamburger, sans viande"
Happy Meal with Apple Slices,Hamburgers
Happy Meal with Hash Browns,Hazelnut & Cocoa McPops
Happy Meal with Hashbrowns,Honest Kids La Fée des pommes
Happy Meal with Mini Fries,Honest Kids Super Punch aux Fr
Happy Meal with mini-fries,Honest Kids Super Punch aux Fruits
Happy Meal with Mini-fries,Hummus original
Happy Meal with Small fries,J’ai ma tasse (M)
Happy Meal with Small Fries,JF Crêpes ***
Happy Meals,JF Fête crêpes
Harvest Entrée Salad,JF Fête h-from
Hash Brown,JF Fête hamb fromage
Hash Brown & Coffee,JF Fête McCroq
Hash Brown & Medium Premium Roast Coffee,JF Fête McCroquettes
Hash Browns,JF Fête wrap
Have my Own Cup (Med),JF Jouet
Have my Own Cup (Med),JF Jouet garçon
Hazelnut & Cocoa McPops,JF Jouet R
Heart Mug,JF poisson ***
Heated,JF Poutine
Herb & Garlic Seasoned Fries,JF Sand from fond***
HM 4 Nuggets & Mini Fry for $2.99,JF Wrp-éclair lait+tom***
HM 4Nug Chrg,"Joeyeux Festin 4 McCroquettes, petit frites pour 2,99$"
HM 4Nug Party Charge,Jouet moins de 3 ans
HM 4Nugget ***,Journal post sem
HM BAGEL ***,Journal post semaine
HM BAGL ***,Journal post wk-end
HM Buf Wrap Crispy ***,Journal quotid
HM Buf Wrap Grill ***,Journal quotid 4
HM Buf Wrp Cr ***,Journal quotidien
HM Buf Wrp Gr ***,Journal week-end
HM Cheese Bagl ***,Journal weekend
HM Cheeseburger ***,Journal wk-end 4
HM Cheeseburger Mn Fry Yog,Journl post wk-end
HM Chkn McBites ***,Joyeux festin
HM Chsb Chrg,Joyeux festin 1 pat hach brune
HM Chsb Party Charge,Joyeux festin 4 McCroquettes - mini-frites
HM Evry Bagel ***,Joyeux festin 4 McCroquettes - P frites
HM Grilled Cheese ***,Joyeux festin 4 McCroquettes - pommes
HM Hambuger ***,Joyeux Festin 4 McCroquettes avec pommes
HM Hamburger ***,"Joyeux Festin 4 McCroquettes, mini frites pour 2,99$"
HM Hamburger Mini Fry,"Joyeux Festin 4 McCroquettes, mini-frites"
HM Hamburger Mini Fry for $2.99,Joyeux Festin avec mini-frites
HM Hotcakes ***,Joyeux Festin avec pat hach br
HM Htck Chrg,Joyeux Festin avec petit frite
HM Htck Party Charge,Joyeux festin avec pommes
HM Let & Tom Snwrp ***,Joyeux Festin avec pommes
HM McEGGY ***,Joyeux festin Crêpes - 1 pat hach brune
HM Mgrain Bagel ***,Joyeux festin Crêpes - mini-frites
HM Plain Bagel ***,Joyeux festin Crêpes - p frites
HM Sesame Bagel ***,Joyeux festin Crêpes - pommes
HM Snack Wrap ***,"Joyeux Festin Crêpes, pat hach brunes pour 2,99$"
HM Snk Wrap Chrg,Joyeux festin hamburger - mini-frites
HM Snk Wrap Party Charge,Joyeux festin hamburger - P frites
Hockey Holiday Mug,Joyeux festin hamburger - pommes
Hockey Tickets,Joyeux Festin Hamburger avec pommes
Holiday Sweater Cup,Joyeux festin hamburger fromage - mini-frites
Holiday Tree Cup,Joyeux festin hamburger fromage - P frites
Hollandaise-style sauce,Joyeux festin hamburger fromage - pommes
Homestyle Bun,"Joyeux Festin Hamburger fromage, mini-frites"
Honest Kids Appley Ever After,"Joyeux Festin Hamburger fromage, petit frites pour 2,99$"
Honest Kids Super Fruit Punch,"Joyeux Festin Hamburger fromage, pommes"
Honey,"Joyeux Festin Hamburger, mini-frites"
Honey Dijon Vinaigrette Dressi,"Joyeux Festin Hamburger, mini-frites pour 2,99$"
Honey Dijon Vinaigrette Dressing,"Joyeux Festin Hamburger, petit frites pour 2,99$"
Hot Beverage,Joyeux festin jouet
Hot Chocolate,Joyeux festin jouet moins de 3 ans
Hot Chocolate (2% Milk),Joyeux festin mini-frites
Hot Chocolate (Almond Milk),Joyeux festin p frites
Hot Chocolate Packet,Joyeux festin P frites
Hot Drink,Joyeux festin sandwich fromage fondant - mini-frites
Hot Drinks,Joyeux festin sandwich fromage fondant - P frites
Hot McCafé,Joyeux festin sandwich fromage fondant - pommes
Hot Mustard,Joyeux festin Wrap-éclair
Hot Reusable Cup,Joyeux festin Wrap-éclair croust - mini-frites
Hotcake & Sausage Extra Value Meal,Joyeux festin Wrap-éclair croust - P frites
Hotcake Syrup,Joyeux festin Wrap-éclair croust - pommes
Hotcakes,Joyeux festin Wrap-éclair grillé - mini-frites
Hotcakes & Bacon,Joyeux festin Wrap-éclair grillé - P frites
Hotcakes & Bacon Extra Value Meal,Joyeux festin Wrap-éclair grillé - pommes
Hotcakes & Sausage,Joyeux festin Wrap-éclair laitue et tomate - mini-frites
Hotcakes & Sausage Extra Value Meal,Joyeux festin Wrap-éclair laitue et tomate - P frites
Hotcakes & Snacks & Sides,Joyeux festin Wrap-éclair laitue et tomate - pommes
Hotcakes Extra Value Meal,Joyeux festin Wrap-éclair Ranch croust - mini-frites
Hotel Coupon,Junior au poulet
Ice,Junior au poulet chili doux
Ice Coffee with sugar free syrup,Jus
Ice Mocha 2S,Jus d'orange
Ice Mocha Milk,Jus d'orange - Simply Orange
Iced Coffee,Jus de pomme
Iced Coffee with sugar free syrup,Jus de pomme - Simply Pomme
Iced Latte,"Jus, lait et eau"
Iced Latte (2% Milk),Jus/lait/bouteille
Iced Latte (Almond Milk),Jus/lait/bouteille d'eau
Iced Matcha Tea Latte (2% Milk),Ketchup
Iced Matcha Tea Latte (Almond Milk),L Lat M. Crml ***
Iced Mocha,L Latte M. Caramel ***
Iced Mocha (2% Milk),Laisser esp
Iced Mocha (almond milk),Lait
Iced Mocha (Almond Milk),Lait 1%
In a Cup,Lait 1% au chocolat
Italian Herb Sauce,Lait 2%
Jam with knife,Lait chocolat
Jr Chicken,lait d'amande
Jr Chicken Meal Deal,Lait frappé à la fraise
Juice,Lait frappé à la menthe
Juice Deposit,"Lait frappé à la menthe, format collation"
Juice Pack Deposit,"Lait frappé à la menthe, format moyen"
"Juice, Milk & Water","Lait frappé à la menthe, grand format"
Juice/Milk/Water,"Lait frappé à la menthe, petit format"
Junior Chicken,Lait frappé à la vanille
Junior Chicken McValue Meal,Lait frappé au chocolat
K-Cup & Tumbler Giftset,Lait glacee
Ketchup,Lait ultra-frappé
Ketchup Packet,Lait ultra-frappé à la fraise
Keychain,Lait ultra-frappé à la vanille
Kid's Mac,Lait ultra-frappé au chocolat
Kiddie Cone,Laits frappés
Knives,Laitue
L  Hot Choc ***,Large
L Apple Juice,Large Cup
L Cap Syrup ***,Latte
L Cappuccino ***,Latte (lait 2%)
L Cappuccino Syrup ***,Latte (lait aux amandes)
L Caramel Choc Latte ***,Latte (lait d'amande)
L Caramel Choc Mocha ***,Latte à la caramel (lait 2%)
L Caramel Latte ***,Latte à la crème brûlée (lait 2%)
L Chai Latte ***,"Latte à la van fr, format moyen (lait aux amandes)"
L Choc Chip Lat ***,"Latte à la van fr, grand format (lait aux amandes)"
L Hot Choc  ***,"Latte à la van fr, petit format (lait aux amandes)"
L Hot Choc ***,Latte à la vanille française (lait 2%)
L Hot Choc Mint ***,Latte à la vanille française (lait aux amandes)
L Hot Chocolate ***,Latte à la vanille française (lait d'amande)
L Hot Water,Latte à thé chai cardamome (lait 2%)
L Hot Wht Choc ***,Latte à thé chai cardamome (lait écrémé)
L Ice Latte ***,Latte à thé London fog (lait 2%)
L Iced Matcha Latte ***,Latte à thé London fog (lait sans lactose)
L Lat Caramel ***,Latte au caramel (lait 2%)
L Lat Chc Chp ***,Latte au caramel (lait aux amandes)
L Lat Cml Choc ***,"Latte au caramel, format moyen (lait aux amandes)"
L Lat M. Caramel ***,"Latte au caramel, grand format (lait aux amandes)"
L Lat M. Caramel***,"Latte au caramel, petit format (lait aux amandes)"
L Lat M. Crml ***,Latte au chocolat et à la noisette (lait 2 %)
L Lat Pump ***,Latte au thé chai (lait 2 %)
L Lat Pumpkin Crml ***,Latte au thé chai (lait aux amandes)
L Lat SF ***,"Latte au thé chai, format moyen (lait 2 %)"
L Lat Syrup ***,"Latte au thé chai, format moyen (lait aux amandes)"
L Latte ***,"Latte au thé chai, grand format (lait 2 %)"
L Latte Cml Choc ***,"Latte au thé chai, grand format (lait aux amandes)"
L Latte Mint ***,"Latte au thé chai, petit format (lait 2 %)"
L Latte Mint R ***,"Latte au thé chai, petit format (lait aux amandes)"
L Latte Pumpkin ***,Latte au thé matcha (lait 2 %)
L Latte Syrup ***,Latte au thé matcha (lait 2%)
L Lndn Fog Latte ***,Latte au thé matcha (lait aux amandes)
L Matcha Latte ***,"Latte au thé matcha, format moyen (lait 2 %)"
L Mocha ***,"Latte au thé matcha, grand (lait aux amandes)"
L Mocha Cml Choc ***,"Latte au thé matcha, grand format (lait 2 %)"
L Mocha Mint ***,"Latte au thé matcha, moyen (lait aux amandes)"
L Mocha Wht Choc ***,"Latte au thé matcha, petit (lait aux amandes)"
L Orange Juice,"Latte au thé matcha, petit format (lait 2 %)"
L Sugar Free Latte ***,Latte avec sirop sans sucre (lait 2%)
L Van Latte ***,Latte avec sirop sans sucre (lait aux amandes)
L Water,Latte avec sirop sans sucre (lait d'amande)
Large,Latte caramel (lait 2%)
Large,Latte caramel (lait d'amande)
Large Barq's Root Beer,Latte citrouille (lait 2%)
Large Blueberry Pomegranate Smoothie,Latte glacé
Large Breakfast Poutine,Latte glacé (lait 2%)
Large Cappuccino (Almond Milk),Latte glacé (lait amande)
Large Caramel Iced Coffee,Latte glacé au chocolat et à la noisette (lait 2 %)
Large Chocolate Shake,Latte glacé au matcha (lait 2%)
Large Clear Cup,Latte glacé matcha (lait amande)
Large Coke,Latte London Fog (lait 2 %)
Large Cup,Latte London Fog (lait aux amandes)
Large Cup FS,"Latte London Fog, format moyen (lait 2 %)"
Large Decaf Coffee,"Latte London Fog, format moyen (lait aux amandes)"
Large Diet Coke,"Latte London Fog, grand format (lait 2 %)"
Large Earl Grey Tea,"Latte London Fog, grand format (lait aux amandes)"
Large French Fries,"Latte London Fog, petit format (lait 2 %)"
Large French Vanilla Latte,"Latte London Fog, petit format (lait aux amandes)"
Large French Vanilla Latte (2% milk),"Latte, format moyen (lait aux amandes)"
Large Fries,"Latte, grand format (lait aux amandes)"
Large Green Tea,"Latte, petit format (lait aux amandes)"
Large Mango Smoothie,Le Grand M
Large Orange Pekoe Tea,Légèrement grillé
Large Peppermint Tea,Les bâtons des étoiles de la L
Large Poutine,Les bâtons des étoiles de la LNH - Ajouter à la commande
Large Premium Roast Coffee,"LF chocolat, format col."
Large Senior's Decaf Coffee,"LF fraise, format col."
Large Senior's Earl Grey Tea,"LF vanille, format col."
Large Senior's Green Tea,Livraison
Large Senior's Orange Pekoe Tea,Livre Ou Jouet
Large Senior's Peppermint Tea,Livret avec un Joyeux festin
Large Spicy Buffalo Crispy Poutine,Livret fr avec Joyeux festin
Large Spicy Buffalo Grilled Poutine,Livret français avec un Joyeux festin
Large Spicy Crisp Poutine,Livret français seul
Large Sprite,Livret seul
Large Strawberry Banana Smoothie,M Café
Large Strawberry Shake,M Café décaf infusé
Large Vanilla Shake,M Café frappé + crème fouettée + coulis au choc.
Late Night Bundle,M Capp sirop ***
Late Night Bundle (Serves 4),M Cappuccino ***
Latte,M Cappuccino R ***
Latte (2% Milk),M Cappuccino Sirop ***
Latte (Almond milk),M Cappuccino Sirop R***
Latte (Almond Milk),M Chai frappé van. + cr. fouettée + coulis au choc.
Latte French Vanilla (@%),M Choc ch ment ***
Latte French Vanilla (2% Milk),M Coke
Latte or Cappuccino,M Déca infusé
Latte with sugar free syrup (2% Milk),M Eau chaude
Latte with sugar free syrup (Almond Milk),M Eau froide
Leaf Holiday Mug,M Frites
Leaf Lettuce,M Lat caramel ***
Leaf Mug,M Lat M. Car ***
Leaf Tumbler,M Lat M. Crml ***
Leave Some Space,M Lat pép choc ***
Lemon Fruit Splash,M Latte ***
Lemongrass Green Tea,M Latte à la vanille ss ***
Lettuce,M Latte au caramel  ***
Lettuce & Tomato Snack Wrap,M Latte au chocolat et à la noisette (lait 2 %)
Li’l Donuts,M Latte glacé ***
Lightly Toasted,M Latte glacé au chocolat et à la noisette (lait 2 %)
Like a Mac,M Latte glacé L ***
Liquid Sugar,M Latte M. Caramel ***
Local Coupon,M Latte menthe ***
London Fog Tea Latte (2% Milk),M Latte pép choc ***
London Fog Tea Latte (Almond Milk),M Latte sirop ***
